Contract_ID,Lessee_ID,Owner_ID,WH_ID,Start_date,End_date,NumSkids,StorPref,TotPrice,Deposit,Status
113,16804,32214,335,1/10/2018,12/29/2018,74,climate_controlled,6045.99,604.599,Pending
114,1568,10733,369,8/1/2018,11/24/2018,160,dry,5323.4,532.34,Pending
115,23354,23830,245,12/24/2018,12/26/2018,86,dry,67.86,6.786,Active
116,2605,22325,207,5/24/2018,11/13/2018,47,climate_controlled,2095.79,209.579,Terminated
117,6091,13181,176,3/15/2018,4/17/2018,98,dry,714.49,71.449,Active
118,32329,21113,66,9/26/2018,10/18/2018,130,climate_controlled,1158.42,115.842,Pending
119,26265,11998,364,1/14/2018,12/24/2018,122,climate_controlled,16998.76,1699.876,Active
120,7142,17618,211,3/21/2018,12/24/2018,142,climate_controlled,15574.09,1557.409,Active
121,22713,1401,136,9/8/2018,12/2/2018,65,climate_controlled,3138.81,313.881,Active
122,2716,35593,7,8/29/2018,12/23/2018,63,climate_controlled,1460.8,146.08,Declined
123,166,14557,308,1/4/2018,2/25/2018,45,climate_controlled,1169.36,116.936,Active
124,11900,36491,204,4/3/2018,10/16/2018,96,dry,9897.73,989.773,Terminated
125,4352,17744,348,1/23/2018,3/14/2018,124,dry,3587.51,358.751,Declined
126,972,19545,234,2/22/2018,7/9/2018,77,climate_controlled,8046.14,804.614,Active
127,29747,72,302,4/22/2018,6/14/2018,99,dry,2014.85,201.485,Declined
128,19363,574,38,10/11/2018,11/16/2018,73,frozen,898.56,89.856,Pending
129,34675,16330,123,10/15/2018,12/28/2018,133,dry,4038.19,403.819,Active
130,32963,33546,177,6/26/2018,10/5/2018,63,climate_controlled,1673.56,167.356,Pending
131,9335,17360,342,8/1/2018,8/30/2018,140,cooler,1409.54,140.954,Active
132,39658,28617,198,11/19/2018,12/22/2018,87,dry,1495.12,149.512,Declined
133,33417,5565,63,7/5/2018,11/20/2018,52,dry,3774.77,377.477,Accepted
134,27794,36491,204,9/2/2018,10/2/2018,112,dry,1767.45,176.745,Accepted
135,20152,23988,228,7/18/2018,8/5/2018,76,dry,769.98,76.998,Accepted
136,31170,36491,88,1/29/2018,11/29/2018,39,frozen,8855.94,885.594,Accepted
137,30355,38424,99,10/8/2018,11/29/2018,122,climate_controlled,3337.12,333.712,Pending
138,8069,3147,319,10/8/2018,11/5/2018,119,climate_controlled,2015.63,201.563,Active
139,39938,30108,214,10/20/2018,12/31/2018,77,dry,1924.76,192.476,Declined
140,22561,11660,271,11/4/2018,12/12/2018,142,dry,3548.05,354.805,Pending
141,18050,25693,250,4/11/2018,6/6/2018,71,dry,2823.5,282.35,Accepted
142,12844,28280,261,9/19/2018,9/30/2018,49,dry,184.29,18.429,Active
143,10635,10161,318,4/19/2018,5/17/2018,53,climate_controlled,452.76,45.276,Active
144,25722,19931,195,10/10/2018,12/22/2018,128,dry,2457.6,245.76,Declined
145,16382,4431,286,4/4/2018,4/30/2018,132,climate_controlled,1065.14,106.514,Accepted
146,23982,19974,61,11/29/2018,12/26/2018,58,climate_controlled,345.98,34.598,Active
147,27361,10678,316,6/25/2018,8/8/2018,169,dry,2933.65,293.365,Declined
148,13757,574,196,9/3/2018,12/4/2018,41,climate_controlled,2638.95,263.895,Terminated
149,23206,29058,374,8/5/2018,12/24/2018,126,climate_controlled,5981.06,598.106,Accepted
150,25968,1484,188,7/27/2018,11/19/2018,62,frozen,1575.24,157.524,Accepted
151,21334,19545,234,6/13/2018,11/28/2018,46,climate_controlled,5894.45,589.445,Pending
152,28612,30217,76,12/27/2018,12/29/2018,130,climate_controlled,97.1,9.71,Active
153,16561,23670,157,4/20/2018,9/1/2018,111,climate_controlled,8137.1,813.71,Declined
154,7417,10220,2,5/28/2018,12/15/2018,128,climate_controlled,5413.45,541.345,Terminated
155,25656,21042,72,2/10/2018,8/6/2018,116,cooler,10368.38,1036.838,Active
156,4244,40130,3,9/5/2018,10/24/2018,118,dry,1916.14,191.614,Terminated
157,15271,22232,150,5/11/2018,9/21/2018,121,dry,6772.29,677.229,Active
158,21763,22232,150,2/2/2018,3/9/2018,122,dry,1796.91,179.691,Terminated
159,3169,574,38,3/12/2018,12/11/2018,106,frozen,9930.66,993.066,Accepted
160,22330,29057,343,8/18/2018,10/1/2018,100,climate_controlled,2314.52,231.452,Declined
161,22169,20342,363,6/26/2018,11/9/2018,136,climate_controlled,14594.1,1459.41,Terminated
162,12445,19138,238,9/24/2018,10/9/2018,83,climate_controlled,497.73,49.773,Terminated
163,3805,13658,285,8/28/2018,12/29/2018,103,dry,6331.03,633.103,Declined
164,37498,12711,206,8/13/2018,12/18/2018,74,dry,4696.43,469.643,Accepted
165,7381,30717,273,4/26/2018,7/6/2018,126,dry,4235.26,423.526,Accepted
166,21446,10853,80,1/16/2018,7/26/2018,133,climate_controlled,8952.99,895.299,Accepted
167,12659,17630,257,9/9/2018,9/15/2018,94,dry,323.38,32.338,Pending
168,24463,27952,113,11/11/2018,11/22/2018,118,climate_controlled,682.78,68.278,Accepted
169,33096,36491,88,4/23/2018,9/5/2018,84,frozen,8470.51,847.051,Pending
170,22184,11136,23,2/9/2018,4/30/2018,76,dry,3102.3,310.23,Terminated
171,19315,30108,214,6/6/2018,12/20/2018,72,dry,4924.37,492.437,Pending
172,12929,36493,191,1/9/2018,4/12/2018,110,dry,3390.19,339.019,Accepted
173,18277,29235,296,9/16/2018,9/20/2018,72,cooler,119.68,11.968,Pending
174,33437,34906,304,7/12/2018,9/12/2018,66,dry,1722,172.2,Accepted
175,19383,22325,207,10/11/2018,10/14/2018,49,climate_controlled,37.89,3.789,Pending
176,18977,5909,40,8/10/2018,12/9/2018,84,dry,4330.7,433.07,Declined
177,19549,13457,262,3/2/2018,4/28/2018,143,climate_controlled,4287.65,428.765,Active
178,24253,23670,47,10/6/2018,10/7/2018,77,climate_controlled,34.83,3.483,Pending
179,32677,11880,276,10/10/2018,11/14/2018,122,climate_controlled,2807.67,280.767,Terminated
180,13400,19545,27,10/8/2018,11/29/2018,61,dry,1384.9,138.49,Pending
181,7810,19729,121,11/18/2018,11/29/2018,89,climate_controlled,566.48,56.648,Pending
182,26014,8431,180,5/6/2018,8/2/2018,114,climate_controlled,5277.11,527.711,Accepted
183,19588,37401,205,3/14/2018,7/13/2018,108,climate_controlled,5430.56,543.056,Accepted
184,22344,32760,237,11/29/2018,12/16/2018,84,climate_controlled,1051.63,105.163,Terminated
185,37897,19336,373,4/9/2018,10/5/2018,95,climate_controlled,357.8,35.78,Active
186,691,13736,377,4/14/2018,6/3/2018,77,climate_controlled,1680.92,168.092,Declined
187,21173,16042,224,9/26/2018,12/4/2018,124,frozen,2835.43,283.543,Accepted
188,35605,16327,102,5/2/2018,12/13/2018,95,dry,3485.59,348.559,Terminated
189,4191,26240,125,3/21/2018,6/30/2018,121,climate_controlled,4950.01,495.001,Declined
190,29617,17783,189,3/4/2018,12/2/2018,119,climate_controlled,8886.31,888.631,Terminated
191,39204,4431,202,5/30/2018,10/21/2018,74,dry,7567.22,756.722,Active
192,28552,25138,213,5/30/2018,6/30/2018,112,climate_controlled,2282.96,228.296,Declined
193,21911,25742,130,12/14/2018,12/22/2018,97,dry,408.2,40.82,Terminated
194,35848,26171,29,6/13/2018,10/1/2018,88,climate_controlled,2953.33,295.333,Terminated
195,13913,14863,203,5/17/2018,9/17/2018,112,frozen,3623.28,362.328,Declined
196,11715,21530,8,7/7/2018,12/11/2018,70,dry,5781.04,578.104,Active
197,14001,17783,189,6/16/2018,7/11/2018,34,climate_controlled,232.5,23.25,Terminated
198,17677,10857,336,12/5/2018,12/14/2018,84,frozen,596.52,59.652,Accepted
199,27808,13457,65,1/10/2018,6/5/2018,115,cooler,6800.64,680.064,Declined
200,34117,13457,352,8/30/2018,11/9/2018,135,dry,4033.58,403.358,Terminated
201,20014,35106,137,1/10/2018,3/21/2018,129,cooler,1852.51,185.251,Active
202,31852,13603,106,6/16/2018,7/7/2018,120,climate_controlled,927.91,92.791,Active
203,24405,13751,208,5/2/2018,6/26/2018,85,climate_controlled,2213.26,221.326,Active
204,5779,5565,63,3/9/2018,7/13/2018,48,dry,3181.41,318.141,Pending
205,6340,35040,50,8/24/2018,12/10/2018,110,dry,4999.36,499.936,Active
206,14252,19138,151,9/14/2018,10/21/2018,112,climate_controlled,1809.28,180.928,Active
207,16081,1750,268,3/27/2018,11/11/2018,170,climate_controlled,7781.73,778.173,Terminated
208,33653,38424,78,8/18/2018,10/8/2018,118,climate_controlled,2500.85,250.085,Pending
209,16441,15410,307,2/2/2018,4/28/2018,60,dry,1099.92,109.992,Declined
210,29515,3390,30,8/18/2018,11/28/2018,44,climate_controlled,1817.82,181.782,Active
211,24911,11638,84,1/24/2018,3/22/2018,61,dry,1280.3,128.03,Pending
212,24044,19389,232,3/24/2018,8/8/2018,163,climate_controlled,3524.02,352.402,Terminated
213,11031,72,302,2/17/2018,4/12/2018,99,dry,2052.86,205.286,Pending
214,22164,23552,299,12/1/2018,12/23/2018,135,climate_controlled,2109.11,210.911,Active
215,33659,31492,104,10/29/2018,11/22/2018,76,climate_controlled,681.23,68.123,Accepted
216,383,24368,280,5/19/2018,6/9/2018,118,climate_controlled,1173.15,117.315,Pending
217,31066,22232,150,5/26/2018,7/28/2018,88,dry,2333.04,233.304,Active
218,736,34752,317,9/12/2018,12/6/2018,102,dry,4560.66,456.066,Pending
219,1170,37401,173,9/2/2018,11/1/2018,105,dry,3048.85,304.885,Terminated
220,30205,11880,276,4/4/2018,11/6/2018,88,climate_controlled,12498.41,1249.841,Terminated
221,24208,26463,233,12/30/2018,12/31/2018,128,climate_controlled,101,10.1,Active
222,11756,34694,82,11/8/2018,12/7/2018,108,cooler,1318.01,131.801,Terminated
223,14642,28617,198,11/20/2018,11/29/2018,72,dry,337.46,33.746,Pending
224,14260,15914,192,2/4/2018,3/27/2018,100,climate_controlled,1287.72,128.772,Declined
225,33710,17630,257,3/21/2018,8/25/2018,107,dry,9632.04,963.204,Pending
226,14081,17298,12,7/9/2018,7/18/2018,73,climate_controlled,490.75,49.075,Pending
227,29905,23666,256,10/31/2018,11/2/2018,98,frozen,84.54,8.454,Terminated
228,5564,2897,272,12/10/2018,12/18/2018,85,climate_controlled,268.27,26.827,Active
229,2687,36491,193,1/22/2018,2/14/2018,67,dry,405.3,40.53,Pending
230,22825,16330,120,6/3/2018,6/27/2018,151,climate_controlled,2058.83,205.883,Active
231,5198,15022,79,7/29/2018,10/2/2018,96,dry,4103.01,410.301,Declined
232,23907,17148,231,11/6/2018,11/9/2018,64,dry,60.6,6.06,Declined
233,16654,4854,162,4/2/2018,5/6/2018,145,dry,1192.92,119.292,Pending
234,38894,29271,75,10/2/2018,12/18/2018,111,climate_controlled,1888.3,188.83,Terminated
235,28052,29058,374,3/12/2018,6/8/2018,52,climate_controlled,1540.54,154.054,Active
236,13016,25843,117,11/24/2018,12/2/2018,109,dry,229.35,22.935,Pending
237,34595,34752,317,5/19/2018,10/30/2018,142,dry,12250.13,1225.013,Accepted
238,28749,24442,212,9/9/2018,12/3/2018,140,climate_controlled,6259.73,625.973,Pending
239,25313,39809,303,8/27/2018,11/19/2018,127,dry,3928.16,392.816,Declined
240,29857,25923,89,8/21/2018,11/24/2018,87,climate_controlled,1086.9,108.69,Pending
241,15321,10678,270,5/2/2018,8/19/2018,136,dry,5848.37,584.837,Declined
242,5868,17783,189,8/18/2018,12/20/2018,75,climate_controlled,2543.87,254.387,Terminated
243,15881,4431,322,7/15/2018,11/28/2018,77,climate_controlled,5067.87,506.787,Declined
244,22881,25456,346,8/26/2018,9/25/2018,74,climate_controlled,1377.98,137.798,Active
245,6625,159,242,4/2/2018,8/22/2018,91,climate_controlled,3398.66,339.866,Declined
246,35914,19138,54,11/1/2018,12/12/2018,73,climate_controlled,1369.73,136.973,Terminated
247,34243,33546,282,12/9/2018,12/26/2018,111,frozen,784.16,78.416,Active
248,37190,11660,271,1/16/2018,11/12/2018,44,dry,8679.45,867.945,Terminated
249,28377,23084,97,5/16/2018,9/8/2018,81,climate_controlled,3233.96,323.396,Declined
250,35482,2525,226,7/21/2018,12/13/2018,119,dry,5990.56,599.056,Terminated
251,39961,28280,261,12/17/2018,12/18/2018,145,dry,49.58,4.958,Pending
252,5446,5909,179,4/14/2018,7/24/2018,106,climate_controlled,1745.81,174.581,Declined
253,28290,2324,291,10/24/2018,12/1/2018,52,dry,602.87,60.287,Declined
254,36110,3147,147,12/20/2018,12/31/2018,106,cooler,705.35,70.535,Terminated
255,20334,23670,110,6/8/2018,6/19/2018,137,dry,1046.39,104.639,Accepted
256,26056,38424,78,9/22/2018,11/20/2018,61,climate_controlled,1495.61,149.561,Terminated
257,24688,22568,96,4/22/2018,11/23/2018,78,dry,2822.87,282.287,Declined
258,32200,20449,91,3/26/2018,6/26/2018,59,climate_controlled,2426.99,242.699,Declined
259,6540,8431,45,6/16/2018,10/8/2018,56,cooler,3089.51,308.951,Declined
260,15012,26171,275,9/15/2018,12/28/2018,142,climate_controlled,7146.9,714.69,Accepted
261,31944,5565,63,12/9/2018,12/19/2018,108,dry,568.11,56.811,Declined
262,38168,34342,92,9/5/2018,10/10/2018,114,climate_controlled,3148.27,314.827,Active
263,25517,11998,364,11/29/2018,12/10/2018,87,climate_controlled,387.62,38.762,Terminated
264,7190,39158,167,12/7/2018,12/31/2018,108,climate_controlled,545.39,54.539,Active
265,32670,15914,134,9/15/2018,12/24/2018,140,climate_controlled,4124.05,412.405,Pending
266,25715,15174,218,10/10/2018,11/25/2018,133,dry,3346.97,334.697,Pending
267,38476,28327,315,11/11/2018,11/13/2018,103,cooler,108.36,10.836,Active
268,15425,34906,148,1/22/2018,2/5/2018,143,climate_controlled,874.08,87.408,Pending
269,1359,29058,374,7/15/2018,12/21/2018,122,climate_controlled,6530.48,653.048,Terminated
270,17839,1484,188,6/28/2018,12/25/2018,124,frozen,4931.19,493.119,Terminated
271,31259,17658,376,3/6/2018,9/1/2018,99,climate_controlled,9321.73,932.173,Accepted
272,33470,39809,303,9/6/2018,10/16/2018,84,dry,1237.22,123.722,Terminated
273,5616,10733,274,4/3/2018,9/18/2018,143,dry,15796.6,1579.66,Terminated
274,30018,18836,119,3/26/2018,12/11/2018,112,dry,15317.92,1531.792,Terminated
275,15776,35040,225,11/19/2018,12/7/2018,127,climate_controlled,805.67,80.567,Accepted
276,13433,10161,318,2/2/2018,4/23/2018,86,climate_controlled,2099.06,209.906,Terminated
277,12297,25138,86,4/22/2018,5/29/2018,89,frozen,571.63,57.163,Terminated
278,11635,1484,188,9/27/2018,10/11/2018,93,frozen,287.65,28.765,Pending
279,25942,35106,137,2/16/2018,2/23/2018,131,cooler,188.12,18.812,Terminated
280,39707,32214,361,3/12/2018,12/10/2018,124,dry,11752.67,1175.267,Active
281,13632,25138,86,9/2/2018,12/22/2018,111,frozen,2138.79,213.879,Active
282,15250,21102,267,6/6/2018,8/10/2018,90,climate_controlled,3600.39,360.039,Active
283,2614,23666,305,2/10/2018,9/11/2018,94,climate_controlled,5582.02,558.202,Accepted
284,31877,37401,205,8/12/2018,9/28/2018,103,climate_controlled,2011.73,201.173,Accepted
285,22273,23670,110,6/2/2018,8/3/2018,69,dry,2970.46,297.046,Active
286,14585,18294,59,6/7/2018,7/19/2018,134,dry,1036.17,103.617,Declined
287,13547,18276,347,1/29/2018,2/13/2018,121,climate_controlled,553.75,55.375,Terminated
288,34781,36026,60,12/29/2018,12/30/2018,122,climate_controlled,48.13,4.813,Terminated
289,4479,8529,51,10/26/2018,10/30/2018,158,climate_controlled,152.93,15.293,Declined
290,19032,31492,116,12/12/2018,12/22/2018,86,climate_controlled,520.24,52.024,Active
291,28288,13181,176,6/8/2018,6/28/2018,38,dry,167.91,16.791,Active
292,15306,13603,106,7/25/2018,12/30/2018,120,climate_controlled,6981.44,698.144,Declined
293,6062,72,302,11/5/2018,11/20/2018,97,dry,558.72,55.872,Accepted
294,5872,29548,103,11/20/2018,12/9/2018,62,climate_controlled,285.04,28.504,Accepted
295,28773,16327,246,7/30/2018,9/29/2018,121,climate_controlled,2911.96,291.196,Terminated
296,18159,8748,56,10/4/2018,11/10/2018,99,cooler,1194.64,119.464,Declined
297,34115,33546,220,11/29/2018,12/10/2018,47,climate_controlled,312.75,31.275,Pending
298,21613,22232,71,9/15/2018,11/21/2018,81,climate_controlled,1370.28,137.028,Terminated
299,31755,17724,240,11/1/2018,11/25/2018,152,cooler,1266.51,126.651,Pending
300,28000,23666,256,8/19/2018,12/26/2018,113,frozen,6287.68,628.768,Accepted
301,1260,39939,230,6/22/2018,8/4/2018,85,dry,2211.02,221.102,Accepted
302,1396,23666,305,3/26/2018,8/26/2018,78,climate_controlled,3327.13,332.713,Accepted
303,29642,8431,180,6/26/2018,11/2/2018,106,climate_controlled,7192.9,719.29,Terminated
304,28409,4854,351,1/8/2018,11/15/2018,131,climate_controlled,15215.93,1521.593,Terminated
305,4250,3147,319,8/29/2018,10/28/2018,99,climate_controlled,3593.29,359.329,Declined
306,22851,24998,292,11/29/2018,12/11/2018,81,climate_controlled,424.38,42.438,Declined
307,36835,8529,51,5/1/2018,10/13/2018,112,climate_controlled,4471.65,447.165,Accepted
308,29853,574,38,4/5/2018,7/15/2018,97,frozen,3349.77,334.977,Pending
309,31795,4854,351,11/14/2018,11/26/2018,86,climate_controlled,385.43,38.543,Active
310,15155,19729,121,1/25/2018,8/18/2018,117,climate_controlled,13878.44,1387.844,Active
311,242,27108,146,8/7/2018,10/11/2018,52,climate_controlled,1262.36,126.236,Pending
312,20358,17618,68,12/16/2018,12/25/2018,75,cooler,521.95,52.195,Active
313,23040,11880,87,11/10/2018,11/21/2018,52,dry,249.74,24.974,Accepted
